name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Isaiah Thomas","Boston Celtics",2016-12-20,2016,6472,1610612738,400899866,1,10,37,0,"Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",189,169,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-20,2016,6472,1610612738,400899866,4,1,38,1,"Jump Shot","3PT Field Goal",24,"Memphis Grizzlies",-194,154,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-20,2016,6472,1610612738,400899866,4,7,52,1,"Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",130,218,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-20,2016,6472,1610612738,400899866,3,10,02,1,"Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",-165,193,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-20,2016,6472,1610612738,400899866,3,9,23,0,"Jump Shot","3PT Field Goal",24,"Memphis Grizzlies",-145,200,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-20,2016,6472,1610612738,400899866,3,11,02,1,"Jump Shot","3PT Field Goal",24,"Memphis Grizzlies",-209,124,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-01-13,2016,6472,1610612738,400900018,3,9,54,0,"Jump Shot","3PT Field Goal",23,"Atlanta Hawks",-233,16,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-16,2016,6472,1610612738,400899611,3,8,34,0,"Jump Shot","3PT Field Goal",24,"Dallas Mavericks",176,174,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-16,2016,6472,1610612738,400899611,4,5,58,1,"Jump Shot","3PT Field Goal",25,"Dallas Mavericks",213,134,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-21,2016,6472,1610612738,400899655,1,10,56,0,"Jump Shot","3PT Field Goal",24,"Minnesota Timberwolves",191,149,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-21,2016,6472,1610612738,400899655,1,8,34,1,"Jump Shot","2PT Field Goal",20,"Minnesota Timberwolves",-112,169,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-27,2016,6472,1610612738,400900291,1,2,21,0,"Jump Shot","3PT Field Goal",23,"Atlanta Hawks",-232,46,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-01-21,2016,6472,1610612738,400900071,5,4,03,0,"Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",135,219,0,0.00,,0.00,0.00
